objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location
0706,El ascenso del rey enano / Rise of the Halfling King,"Bowles, David (autor); BOWLES, Charlene Cosette (autor); National Geographic Books (editorial)",2021-09-21,"Una emocionante novela gráfica que sigue las aventuras de un niño mágico de la mitología maya, El ascenso del rey enano es el primer tomo de una serie basada en mitos y leyendas mesoamericanas. Sayam siempre ha sido diferente de los demás niños: es muy bajo para su edad, su mejor amigo es un mono y lo más curioso de todo: ¡nació de un huevo! Su abuela, una bruja, lo encontró y le enseñó toda la magia antigua que usa para ayudar a su gente. Entonces, cuando una serpiente gigante comienza a aterrorizar una ciudad cercana, Sayam decide que es hora de usar su conocimiento para ayudar a otros, y entra en acción. Pero la bestia podría no ser el mayor problema de Sayam: el despiadado rey Kinich Kak Ek ve a Sayam como una amenaza para su trono. La profecía declara que quien tenga éxito en tres pruebas imposibles será rey. Las serpientes monstruosas y las pruebas imposibles son mucho para un niño, ¡pero Sayam es valiente y tiene a un mono leal, una abuela sabia y conocimientos mágicos de su lado! A los lectores de historias de aventuras con un enfoque mitológico les encantará esta emocionante y accesible novela gráfica. El ascenso del rey enano es también un atractivo recurso educativo para los estudiantes de secundaria: una introducción inigualable a la cultura maya, brindada por un experto en la cultura mesoamericana y la literatura juvenil. Bowles reunió previamente una serie de historias de la mitología maya, azteca y otras antiguas mitologías del México precolombino en un libro para jóvenes lectores titulado Serpiente emplumada, corazón del cielo. ENGLISH DESCRIPTION ""It’s a timeless story told in a timely way: Mayan codex meets superhero comic book."" ―The New York Times A middle grade graphic novel follows the adventures of a magical boy from Maya mythology. The first of a series based on ancient Mesoamerican myths and legends. Sayam has always been different from other kids―he’s very short for his age, his best friend is a monkey, and most curious of all: he was born from an egg! His grandmother, a witch, found him and taught him all the ancient magic she uses to help her people. So when a giant snake starts terrorizing a nearby city, Sayam decides it’s time for him to use his knowledge to help others, and steps into action. But the beast might not be Sayam’s biggest problem: the ruthless King Kinich Kak Ek sees Sayam as a threat to his throne. Prophecy declares that whoever succeeds at three impossible tests will be king. Monstrous snakes and impossible tests are a lot for a boy to handle, but Sayam is brave and has a loyal monkey, a wise grandmother, and magical knowledge on his side! Fans of adventure tales with a mythological focus―such as Bowles’ previous work with Latin American myths, The Chupacabras of the Rio Grande and the Garza Twin series, as well as Rick Riordan Presents, especially the Storm Runner novels―will love this exciting and accessible graphic novel. Rise of the Halfling King is also an invaluable educational tool for middle school students―it’s a well-researched introduction to Maya culture, made accessible by an expert in Mesoamerican culture and juvenile literature. Bowles previously stitched together tales from Maya, Aztec, and other ancient mythology from pre-Columbian Mexico in the critically-acclaimed YA book, Feathered Serpent, Dark Heart of Sky.","Juvenile Fiction; Comics & Graphic Novels; Fairy Tales, Folklore, Legends & Mythology; Juvenile Fiction; Comics & Graphic Novels; Action & Adventure",,,,,9780593312698,Text,application/pdf,Español,,,record,
0707,El ascenso del rey enano / Rise of the Halfling King,"Bowles, David (autor); BOWLES, Charlene Cosette (autor); National Geographic Books (editorial)",2021-09-21,"Una emocionante novela gráfica que sigue las aventuras de un niño mágico de la mitología maya, El ascenso del rey enano es el primer tomo de una serie basada en mitos y leyendas mesoamericanas. Sayam siempre ha sido diferente de los demás niños: es muy bajo para su edad, su mejor amigo es un mono y lo más curioso de todo: ¡nació de un huevo! Su abuela, una bruja, lo encontró y le enseñó toda la magia antigua que usa para ayudar a su gente. Entonces, cuando una serpiente gigante comienza a aterrorizar una ciudad cercana, Sayam decide que es hora de usar su conocimiento para ayudar a otros, y entra en acción. Pero la bestia podría no ser el mayor problema de Sayam: el despiadado rey Kinich Kak Ek ve a Sayam como una amenaza para su trono. La profecía declara que quien tenga éxito en tres pruebas imposibles será rey. Las serpientes monstruosas y las pruebas imposibles son mucho para un niño, ¡pero Sayam es valiente y tiene a un mono leal, una abuela sabia y conocimientos mágicos de su lado! A los lectores de historias de aventuras con un enfoque mitológico les encantará esta emocionante y accesible novela gráfica. El ascenso del rey enano es también un atractivo recurso educativo para los estudiantes de secundaria: una introducción inigualable a la cultura maya, brindada por un experto en la cultura mesoamericana y la literatura juvenil. Bowles reunió previamente una serie de historias de la mitología maya, azteca y otras antiguas mitologías del México precolombino en un libro para jóvenes lectores titulado Serpiente emplumada, corazón del cielo. ENGLISH DESCRIPTION ""It’s a timeless story told in a timely way: Mayan codex meets superhero comic book."" ―The New York Times A middle grade graphic novel follows the adventures of a magical boy from Maya mythology. The first of a series based on ancient Mesoamerican myths and legends. Sayam has always been different from other kids―he’s very short for his age, his best friend is a monkey, and most curious of all: he was born from an egg! His grandmother, a witch, found him and taught him all the ancient magic she uses to help her people. So when a giant snake starts terrorizing a nearby city, Sayam decides it’s time for him to use his knowledge to help others, and steps into action. But the beast might not be Sayam’s biggest problem: the ruthless King Kinich Kak Ek sees Sayam as a threat to his throne. Prophecy declares that whoever succeeds at three impossible tests will be king. Monstrous snakes and impossible tests are a lot for a boy to handle, but Sayam is brave and has a loyal monkey, a wise grandmother, and magical knowledge on his side! Fans of adventure tales with a mythological focus―such as Bowles’ previous work with Latin American myths, The Chupacabras of the Rio Grande and the Garza Twin series, as well as Rick Riordan Presents, especially the Storm Runner novels―will love this exciting and accessible graphic novel. Rise of the Halfling King is also an invaluable educational tool for middle school students―it’s a well-researched introduction to Maya culture, made accessible by an expert in Mesoamerican culture and juvenile literature. Bowles previously stitched together tales from Maya, Aztec, and other ancient mythology from pre-Columbian Mexico in the critically-acclaimed YA book, Feathered Serpent, Dark Heart of Sky.","Juvenile Fiction; Comics & Graphic Novels; Fairy Tales, Folklore, Legends & Mythology; Juvenile Fiction; Comics & Graphic Novels; Action & Adventure",,,,,9780593312698,Text,application/pdf,Español,,,record,
0708,El ascenso del rey enano / Rise of the Halfling King,"Bowles, David (autor); BOWLES, Charlene Cosette (autor); National Geographic Books (editorial)",2021-09-21,"Una emocionante novela gráfica que sigue las aventuras de un niño mágico de la mitología maya, El ascenso del rey enano es el primer tomo de una serie basada en mitos y leyendas mesoamericanas. Sayam siempre ha sido diferente de los demás niños: es muy bajo para su edad, su mejor amigo es un mono y lo más curioso de todo: ¡nació de un huevo! Su abuela, una bruja, lo encontró y le enseñó toda la magia antigua que usa para ayudar a su gente. Entonces, cuando una serpiente gigante comienza a aterrorizar una ciudad cercana, Sayam decide que es hora de usar su conocimiento para ayudar a otros, y entra en acción. Pero la bestia podría no ser el mayor problema de Sayam: el despiadado rey Kinich Kak Ek ve a Sayam como una amenaza para su trono. La profecía declara que quien tenga éxito en tres pruebas imposibles será rey. Las serpientes monstruosas y las pruebas imposibles son mucho para un niño, ¡pero Sayam es valiente y tiene a un mono leal, una abuela sabia y conocimientos mágicos de su lado! A los lectores de historias de aventuras con un enfoque mitológico les encantará esta emocionante y accesible novela gráfica. El ascenso del rey enano es también un atractivo recurso educativo para los estudiantes de secundaria: una introducción inigualable a la cultura maya, brindada por un experto en la cultura mesoamericana y la literatura juvenil. Bowles reunió previamente una serie de historias de la mitología maya, azteca y otras antiguas mitologías del México precolombino en un libro para jóvenes lectores titulado Serpiente emplumada, corazón del cielo. ENGLISH DESCRIPTION ""It’s a timeless story told in a timely way: Mayan codex meets superhero comic book."" ―The New York Times A middle grade graphic novel follows the adventures of a magical boy from Maya mythology. The first of a series based on ancient Mesoamerican myths and legends. Sayam has always been different from other kids―he’s very short for his age, his best friend is a monkey, and most curious of all: he was born from an egg! His grandmother, a witch, found him and taught him all the ancient magic she uses to help her people. So when a giant snake starts terrorizing a nearby city, Sayam decides it’s time for him to use his knowledge to help others, and steps into action. But the beast might not be Sayam’s biggest problem: the ruthless King Kinich Kak Ek sees Sayam as a threat to his throne. Prophecy declares that whoever succeeds at three impossible tests will be king. Monstrous snakes and impossible tests are a lot for a boy to handle, but Sayam is brave and has a loyal monkey, a wise grandmother, and magical knowledge on his side! Fans of adventure tales with a mythological focus―such as Bowles’ previous work with Latin American myths, The Chupacabras of the Rio Grande and the Garza Twin series, as well as Rick Riordan Presents, especially the Storm Runner novels―will love this exciting and accessible graphic novel. Rise of the Halfling King is also an invaluable educational tool for middle school students―it’s a well-researched introduction to Maya culture, made accessible by an expert in Mesoamerican culture and juvenile literature. Bowles previously stitched together tales from Maya, Aztec, and other ancient mythology from pre-Columbian Mexico in the critically-acclaimed YA book, Feathered Serpent, Dark Heart of Sky.","Juvenile Fiction; Comics & Graphic Novels; Fairy Tales, Folklore, Legends & Mythology; Juvenile Fiction; Comics & Graphic Novels; Action & Adventure",,,,,9780593312698,Text,application/pdf,Español,,,record,
0709,Corazón de marimba,"Gamboa, Jaime (autor); Elissambura, (autor); Amanuense (editorial)",2017,"Siguiendo las instrucciones de su abuela, Amanda aprendió a viajar con los oídos. En su recorrido por la ciudad, se hace amiga de Miguel, un niño que toca la marimba mientras espera que le pongan un corazón nuevo.",Friendship,,,,,9789929633445,Text,application/pdf,Español,,,record,
0710,Corazón de marimba,"Gamboa, Jaime (autor); Elissambura, (autor); Amanuense (editorial)",2017,"Siguiendo las instrucciones de su abuela, Amanda aprendió a viajar con los oídos. En su recorrido por la ciudad, se hace amiga de Miguel, un niño que toca la marimba mientras espera que le pongan un corazón nuevo.",Friendship,,,,,9789929633445,Text,application/pdf,Español,,,record,
0711,Corazón de marimba,"Gamboa, Jaime (autor); Elissambura, (autor); Amanuense (editorial)",2017,"Siguiendo las instrucciones de su abuela, Amanda aprendió a viajar con los oídos. En su recorrido por la ciudad, se hace amiga de Miguel, un niño que toca la marimba mientras espera que le pongan un corazón nuevo.",Friendship,,,,,9789929633445,Text,application/pdf,Español,,,record,
0712,Corazón de marimba,"Gamboa, Jaime (autor); Elissambura, (autor); Amanuense (editorial)",2017,"Siguiendo las instrucciones de su abuela, Amanda aprendió a viajar con los oídos. En su recorrido por la ciudad, se hace amiga de Miguel, un niño que toca la marimba mientras espera que le pongan un corazón nuevo.",Friendship,,,,,9789929633445,Text,application/pdf,Español,,,record,
0713,Corazón de marimba,"Gamboa, Jaime (autor); Elissambura, (autor); Amanuense (editorial)",2017,"Siguiendo las instrucciones de su abuela, Amanda aprendió a viajar con los oídos. En su recorrido por la ciudad, se hace amiga de Miguel, un niño que toca la marimba mientras espera que le pongan un corazón nuevo.",Friendship,,,,,9789929633445,Text,application/pdf,Español,,,record,
0714,Corazón de marimba,"Gamboa, Jaime (autor); Elissambura, (autor); Amanuense (editorial)",2017,"Siguiendo las instrucciones de su abuela, Amanda aprendió a viajar con los oídos. En su recorrido por la ciudad, se hace amiga de Miguel, un niño que toca la marimba mientras espera que le pongan un corazón nuevo.",Friendship,,,,,9789929633445,Text,application/pdf,Español,,,record,
0715,Corazón de marimba,"Gamboa, Jaime (autor); Elissambura, (autor); Amanuense (editorial)",2017,"Siguiendo las instrucciones de su abuela, Amanda aprendió a viajar con los oídos. En su recorrido por la ciudad, se hace amiga de Miguel, un niño que toca la marimba mientras espera que le pongan un corazón nuevo.",Friendship,,,,,9789929633445,Text,application/pdf,Español,,,record,
0716,Corazón de marimba,"Gamboa, Jaime (autor); Elissambura, (autor); Amanuense (editorial)",2017,"Siguiendo las instrucciones de su abuela, Amanda aprendió a viajar con los oídos. En su recorrido por la ciudad, se hace amiga de Miguel, un niño que toca la marimba mientras espera que le pongan un corazón nuevo.",Friendship,,,,,9789929633445,Text,application/pdf,Español,,,record,
0717,Corazón de marimba,"Gamboa, Jaime (autor); Elissambura, (autor); Amanuense (editorial)",2017,"Siguiendo las instrucciones de su abuela, Amanda aprendió a viajar con los oídos. En su recorrido por la ciudad, se hace amiga de Miguel, un niño que toca la marimba mientras espera que le pongan un corazón nuevo.",Friendship,,,,,9789929633445,Text,application/pdf,Español,,,record,
0718,Corazón de marimba,"Gamboa, Jaime (autor); Elissambura, (autor); Amanuense (editorial)",2017,"Siguiendo las instrucciones de su abuela, Amanda aprendió a viajar con los oídos. En su recorrido por la ciudad, se hace amiga de Miguel, un niño que toca la marimba mientras espera que le pongan un corazón nuevo.",Friendship,,,,,9789929633445,Text,application/pdf,Español,,,record,
0719,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0720,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0721,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0722,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0723,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0724,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0725,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0726,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0727,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0728,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0729,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0730,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0731,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0732,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0733,La Gallinita Roja,"Finch, Mary (autor); Barefoot Books (editorial)",2013,"The little red hen finds none of the lazy barnyard animals willing to help her plant, harvest, or grind wheat into flour, but all are eager to eat the bread she makes from it. Includes recipe for whole wheat bread.","Juvenile Fiction; Animals; Birds; Juvenile Fiction; Fairy Tales & Folklore; General; Juvenile Fiction; Legends, Myths, Fables; General; Juvenile Fiction; Social Themes; Friendship; Juvenile Fiction; Cooking & Food",,,,,9781846867538,Text,application/pdf,Español,,,record,
0734,Dragones y tacos,"Rubin, Adam (autor); Penguin (editorial)",2015-08-25,"Si quieres ser amigo con un dragón, los tacos son la clave. Todo el mundo sabe que solo hay una cosa que a los dragones les gusta más que las fiestas y los tacos y es una fiesta de tacos. Pero hay algunos detalles que hay que tener en cuenta si das una fiesta de tacos: a los dragones les encantan los tacos de pollo, los de carne, los tacos gigantes y los pequeñitos. Para decidir cuántos tacos vas a necesitar para la fiesta, llena un barco de tacos y esa será la cantidad adecuada. Pero ten muy presente que no debe haber ninguna salsa picante, porque, si no, ¡la cosa se pone verdaderamente en llamas! Everyone knows that there is only one thing that dragons like more than parties and tacos and it is a party of tacos. But there are some details to keep in mind if you give a party of tacos: dragons love chicken tacos, meat tacos, giant tacos and little ones. To decide how many tacos you will need for the party, fill a boat with tacos and that will be the right amount. But keep in mind that there should not be any hot sauce, because otherwise the thing is really on fire! The award-winning team behind Those Darn Squirrels! has created an unforgettable, laugh-until-salsa-comes-out-of-your-nose tale of new friends and the perfect snack. * “Off-kilter fun for those who like their picture books (and salsa) zesty and fresh.”—Publishers Weekly, starred review","Juvenile Fiction; Animals; Dragons, Unicorns & Mythical; Juvenile Fiction; Humorous Stories; Juvenile Fiction; Cooking & Food",,,,,9780147515599,Text,application/pdf,Español,,,record,
0735,Dragones y tacos,"Rubin, Adam (autor); Penguin (editorial)",2015-08-25,"Si quieres ser amigo con un dragón, los tacos son la clave. Todo el mundo sabe que solo hay una cosa que a los dragones les gusta más que las fiestas y los tacos y es una fiesta de tacos. Pero hay algunos detalles que hay que tener en cuenta si das una fiesta de tacos: a los dragones les encantan los tacos de pollo, los de carne, los tacos gigantes y los pequeñitos. Para decidir cuántos tacos vas a necesitar para la fiesta, llena un barco de tacos y esa será la cantidad adecuada. Pero ten muy presente que no debe haber ninguna salsa picante, porque, si no, ¡la cosa se pone verdaderamente en llamas! Everyone knows that there is only one thing that dragons like more than parties and tacos and it is a party of tacos. But there are some details to keep in mind if you give a party of tacos: dragons love chicken tacos, meat tacos, giant tacos and little ones. To decide how many tacos you will need for the party, fill a boat with tacos and that will be the right amount. But keep in mind that there should not be any hot sauce, because otherwise the thing is really on fire! The award-winning team behind Those Darn Squirrels! has created an unforgettable, laugh-until-salsa-comes-out-of-your-nose tale of new friends and the perfect snack. * “Off-kilter fun for those who like their picture books (and salsa) zesty and fresh.”—Publishers Weekly, starred review","Juvenile Fiction; Animals; Dragons, Unicorns & Mythical; Juvenile Fiction; Humorous Stories; Juvenile Fiction; Cooking & Food",,,,,9780147515599,Text,application/pdf,Español,,,record,
0736,Dragones y tacos,"Rubin, Adam (autor); Penguin (editorial)",2015-08-25,"Si quieres ser amigo con un dragón, los tacos son la clave. Todo el mundo sabe que solo hay una cosa que a los dragones les gusta más que las fiestas y los tacos y es una fiesta de tacos. Pero hay algunos detalles que hay que tener en cuenta si das una fiesta de tacos: a los dragones les encantan los tacos de pollo, los de carne, los tacos gigantes y los pequeñitos. Para decidir cuántos tacos vas a necesitar para la fiesta, llena un barco de tacos y esa será la cantidad adecuada. Pero ten muy presente que no debe haber ninguna salsa picante, porque, si no, ¡la cosa se pone verdaderamente en llamas! Everyone knows that there is only one thing that dragons like more than parties and tacos and it is a party of tacos. But there are some details to keep in mind if you give a party of tacos: dragons love chicken tacos, meat tacos, giant tacos and little ones. To decide how many tacos you will need for the party, fill a boat with tacos and that will be the right amount. But keep in mind that there should not be any hot sauce, because otherwise the thing is really on fire! The award-winning team behind Those Darn Squirrels! has created an unforgettable, laugh-until-salsa-comes-out-of-your-nose tale of new friends and the perfect snack. * “Off-kilter fun for those who like their picture books (and salsa) zesty and fresh.”—Publishers Weekly, starred review","Juvenile Fiction; Animals; Dragons, Unicorns & Mythical; Juvenile Fiction; Humorous Stories; Juvenile Fiction; Cooking & Food",,,,,9780147515599,Text,application/pdf,Español,,,record,
0737,Dragones y tacos,"Rubin, Adam (autor); Penguin (editorial)",2015-08-25,"Si quieres ser amigo con un dragón, los tacos son la clave. Todo el mundo sabe que solo hay una cosa que a los dragones les gusta más que las fiestas y los tacos y es una fiesta de tacos. Pero hay algunos detalles que hay que tener en cuenta si das una fiesta de tacos: a los dragones les encantan los tacos de pollo, los de carne, los tacos gigantes y los pequeñitos. Para decidir cuántos tacos vas a necesitar para la fiesta, llena un barco de tacos y esa será la cantidad adecuada. Pero ten muy presente que no debe haber ninguna salsa picante, porque, si no, ¡la cosa se pone verdaderamente en llamas! Everyone knows that there is only one thing that dragons like more than parties and tacos and it is a party of tacos. But there are some details to keep in mind if you give a party of tacos: dragons love chicken tacos, meat tacos, giant tacos and little ones. To decide how many tacos you will need for the party, fill a boat with tacos and that will be the right amount. But keep in mind that there should not be any hot sauce, because otherwise the thing is really on fire! The award-winning team behind Those Darn Squirrels! has created an unforgettable, laugh-until-salsa-comes-out-of-your-nose tale of new friends and the perfect snack. * “Off-kilter fun for those who like their picture books (and salsa) zesty and fresh.”—Publishers Weekly, starred review","Juvenile Fiction; Animals; Dragons, Unicorns & Mythical; Juvenile Fiction; Humorous Stories; Juvenile Fiction; Cooking & Food",,,,,9780147515599,Text,application/pdf,Español,,,record,
0738,Dragones y tacos,"Rubin, Adam (autor); Penguin (editorial)",2015-08-25,"Si quieres ser amigo con un dragón, los tacos son la clave. Todo el mundo sabe que solo hay una cosa que a los dragones les gusta más que las fiestas y los tacos y es una fiesta de tacos. Pero hay algunos detalles que hay que tener en cuenta si das una fiesta de tacos: a los dragones les encantan los tacos de pollo, los de carne, los tacos gigantes y los pequeñitos. Para decidir cuántos tacos vas a necesitar para la fiesta, llena un barco de tacos y esa será la cantidad adecuada. Pero ten muy presente que no debe haber ninguna salsa picante, porque, si no, ¡la cosa se pone verdaderamente en llamas! Everyone knows that there is only one thing that dragons like more than parties and tacos and it is a party of tacos. But there are some details to keep in mind if you give a party of tacos: dragons love chicken tacos, meat tacos, giant tacos and little ones. To decide how many tacos you will need for the party, fill a boat with tacos and that will be the right amount. But keep in mind that there should not be any hot sauce, because otherwise the thing is really on fire! The award-winning team behind Those Darn Squirrels! has created an unforgettable, laugh-until-salsa-comes-out-of-your-nose tale of new friends and the perfect snack. * “Off-kilter fun for those who like their picture books (and salsa) zesty and fresh.”—Publishers Weekly, starred review","Juvenile Fiction; Animals; Dragons, Unicorns & Mythical; Juvenile Fiction; Humorous Stories; Juvenile Fiction; Cooking & Food",,,,,9780147515599,Text,application/pdf,Español,,,record,
0739,Dragones y tacos,"Rubin, Adam (autor); Penguin (editorial)",2015-08-25,"Si quieres ser amigo con un dragón, los tacos son la clave. Todo el mundo sabe que solo hay una cosa que a los dragones les gusta más que las fiestas y los tacos y es una fiesta de tacos. Pero hay algunos detalles que hay que tener en cuenta si das una fiesta de tacos: a los dragones les encantan los tacos de pollo, los de carne, los tacos gigantes y los pequeñitos. Para decidir cuántos tacos vas a necesitar para la fiesta, llena un barco de tacos y esa será la cantidad adecuada. Pero ten muy presente que no debe haber ninguna salsa picante, porque, si no, ¡la cosa se pone verdaderamente en llamas! Everyone knows that there is only one thing that dragons like more than parties and tacos and it is a party of tacos. But there are some details to keep in mind if you give a party of tacos: dragons love chicken tacos, meat tacos, giant tacos and little ones. To decide how many tacos you will need for the party, fill a boat with tacos and that will be the right amount. But keep in mind that there should not be any hot sauce, because otherwise the thing is really on fire! The award-winning team behind Those Darn Squirrels! has created an unforgettable, laugh-until-salsa-comes-out-of-your-nose tale of new friends and the perfect snack. * “Off-kilter fun for those who like their picture books (and salsa) zesty and fresh.”—Publishers Weekly, starred review","Juvenile Fiction; Animals; Dragons, Unicorns & Mythical; Juvenile Fiction; Humorous Stories; Juvenile Fiction; Cooking & Food",,,,,9780147515599,Text,application/pdf,Español,,,record,
